THSCODE;DESCRIPT;LANG
MEATCASS;POISTETTU_Lihalaatikot;FI
POULTDI;POISTETTU_Kanaruoat;FI
SAUSDISH;POISTETTU_Makkararuoat;FI
BEVTOT;Juomat;FI
COFFEE;Kahvi;FI
TEA;Tee;FI
DRWATER;Vedet;FI
DRJUICE;Mehujuomat;FI
DRINKSO;Virvoitusjuomat, sokeroidut;FI
DRINKART;Keinotekoisesti makeutetut juomat;FI
DRSPORT;Urheilujuomat;FI
DRINKOTH;Muut juomat;FI
DRINKCO;POISTETTU_Kofeiinipitoiset virvoitusjuomat;FI
ALCTOT;Alkoholijuomat;FI
BEER;Oluet;FI
CIDER;Siiderit;FI
WINE;Viinit;FI
SPIRIT;V‰kev‰t viinat;FI
ALCOTH;Alkoholijuomat, muut;FI
SUGARTOT;Sokeri, makeiset;FI
SUGADD;Sokerit, siirapit;FI
SWEET;Makeiset;FI
CHOCOL;Suklaa;FI
JAM;Hillot, marmeladit;FI
MISCTOT;Sekalaiset;FI
SPICES;Mausteet;FI
SPISAUCE;Maustekastikkeet;FI
SAVSAUCE;Kastikkeet ja liemet ;FI
DESSAUCE;J‰lkiruokakastikkeet;FI
INGRMISC;Sekalaiset ruoka-aineet;FI
SNACK;POISTETTU_Naposteltavat;FI
SNACKTOT;Naposteltavat;FI
SNACKSAV;Suolaiset naposteltavat;FI
SNACKVEG;P‰hkin‰t, siemenet ja kuivatut hedelm‰t;FI
BABYFTOT;Lastenruoat;FI
BABMEATD;Baby lasten liharuokavalmiste;FI
BABFISHD;Baby lasten kalaruokavalmiste;FI
BABMILPO;Baby lasten maitopuuro;FI
BABWATPO;Baby lasten puuro veteen;FI
BABFRUB;Baby hedelm‰- ja marjavalmiste;FI
BABVEGE;Baby lasten kasvisvalmiste;FI
BABMIFRU;Baby lasten hedelm‰maitovalmiste;FI
BABOTHER;Lastenruoat tarkentamattomat;FI
MMILK;ƒidinmaito ja ‰idinmaitokorvikkeet;FI
INFMILK;Tavanomaiset ‰idinmaidonkorvikkeet ja ‰idinmaito;FI
CASMILK;Kaseiinihydrolysaatit, ‰idinmaidonkorvikkeet;FI
PREMILK;Keskosten ‰idinmaidonkorvikkeet;FI
SOYMILK;Soijapohjaiset ‰idinmaidonkorvikkeet;FI
WHEYMILK;Heraproteiinihydrolysaatit, ‰idinmaidonkorvikkeet;FI
AMINMILK;Aminohappovalmisteet, ‰idinmaidonkorvikkeet;FI
SPECTOT;Ravintovalmisteet;FI
SPECSUPP;Ravintoainevalmisteet;FI
MEALREP;Ateriankorvikkeet;FI
SPORTFOO;Urheiluvalmisteet muut kuin juomat;FI
SPECFOOD;Kliiniset ravintovalmisteet;FI
MEATSAUC;Lihakastikkeet;FI
