THSCODE;DESCRIPT;LANG
BABWATPO;Baby barn gröt med vatten;SV
BABFRUB;Baby frukt- och bärprodukt;SV
BABVEGE;Baby barn grönsakspreparat;SV
BABMIFRU;Baby frukt med mjölk produkt;SV
BABOTHER;Barnmat ospecificerad;SV
MMILK;Modersmjölksersättning;SV
INFMILK;Vanliga modersmjölkersättningar och modersmjölk;SV
CASMILK;Kasein hydrolysater, modersmjölkersättningar;SV
PREMILK;Modersmjölkersättningar för prematurbarn;SV
SOYMILK;Sojabaserade modersmjölkersättningar;SV
WHEYMILK;Vassleprotein hydrolysater, modersmjölkersättningar;SV
AMINMILK;Aminosyrapreparat, modersmjölkersättningar;SV
SPECTOT;Näringspreparat;SV
SPECSUPP;Näringspreparat;SV
MEALREP;Måltidsersättningar;SV
SPORTFOO;Sport produkter;SV
SPECFOOD;Kliniska näringspreparat;SV
MEATSAUC;Köttsåser;SV
