FOODID;FOODNAME;LANG
348;KRYDDGURKA, SOCKERSALTAD;SV
350;PUMPA;SV
351;SALLAD, SYLTAD PUMPA;SV
352;TOMAT;SV
353;TOMATKETCHUP;SV
354;TOMATPURÉ;SV
355;PAPRIKA, MEDELVÄRDE;SV
356;GRÖNSAKSBLANDNING, MOROT, BLOMKÅL, ÄRTER, BÖNOR;SV
358;JUICE, GRÖNSAKSJUICE;SV
359;KINAKÅL;SV
360;MANGOLD;SV
362;ÄGGPLANTA, AUBERGINE;SV
363;MAJSKORN;SV
364;TRÄDGÅRDSKRASSE;SV
367;KANTARELL;SV
368;STENMURKLA;SV
369;DILL, FÄRSK;SV
370;ÄRTER, GRÖNA, FÄRSKA;SV
371;ÄRTER, GRÖNA, TORKADE;SV
372;BÖNOR, GRÖNA BRYTBÖNOR, FÄRSKA;SV
373;BÖNOR, BRUNA/VITA, MEDELVÄRDE;SV
375;NÖT, HASSELNÖT;SV
376;NÖT, VALNÖT;SV
377;KASTANJER;SV
378;NÖT, JORDNÖT;SV
379;MANDEL;SV
380;MJÖL, SOJAMJÖL, FET;SV
381;MJÖL, SOJAMJÖL, LÅG FETTHALT;SV
382;KOKOSFLINGOR;SV
383;NÖT, SALTAD;SV
384;GRODDAR, MEDELVÄRDE, ALFALFA, MUNGBÖNOR;SV
385;SESAMFRÖN, MED SKAL;SV
386;PAPRIKA, RÖD;SV
387;PAPRIKA, GRÖN;SV
388;PAPRIKA, GUL;SV
389;SQUASH, ZUCCHINI;SV
390;JUICE, TOMATJUICE;SV
391;SOJABÖNOR, TORKADE;SV
392;GRÄSLÖK;SV
393;VITLÖK;SV
394;SALLAD, GURKSALLAD, GURKPICKELS, GURKRELISH;SV
395;BÖNOR, VITA, KOKTA;SV
396;GRÖNSAKSBLANDNING, DJUPFRYST, ÄRTER-MAJS-PAPRIKA;SV
398;KROSSADE TOMATER;SV
399;LINSER, GRÖNA/BRUNA, TORKADE;SV
401;ÄPPLE, TORKAT;SV
408;APRIKOS, I SOCKERLAG;SV
409;APRIKOS, TORKAD;SV
411;PERSIKA, KONSERV I SOCKERLAG;SV
412;PERSIKA, TORKAD;SV
417;ANANAS, KONSERV, I SOCKERLAG;SV
423;VINDRUVOR, MEDELVÄRDE, KÄRNFRIA, GRÖNA/MÖRKA;SV
427;BLANDAD FRUKT, TORKAD;SV
428;RUSSIN;SV
431;OLIV, MEDELVÄRDE, VÄGD MED KÄRNA, I OLJA, GRÖN/SVART;SV
432;FRUKTSALLAD, KONSERV, I SOCKERLAG;SV
433;JUICE, ÄPPELJUICE, VITAMIN C;SV
434;JUICE, APELSINJUICE, VITAMIN C;SV
435;JUICE, GRAPEJUICE, VITAMIN C;SV
436;JUICE, VITAMIN C, MEDELVÄRDE;SV
437;JUICE, CITRONJUICE, UTSPÄDD;SV
438;JUICE, ANANASJUICE, VITAMIN C;SV
440;LINGON;SV
441;TRANBÄR;SV
442;BLÅBÄR, SKOGSBLÅBÄR;SV
444;SVART VINBÄR;SV
445;RÖTT VINBÄR;SV
446;KRUSBÄR;SV
447;JORDGUBBE;SV
448;HALLON;SV
449;HJORTRON;SV
450;BÄRSYLT, MEDELVÄRDE;SV
451;SAFT, ÅNGAD, OUTSPÄDD, SOCKRAD;SV
452;SAFT, ÅNGAD, SVARTVINBÄRSSAFT, OUTSPÄDD, SOCKRAD;SV
